"ingredient code","Ingredient description","Nutrient code","Nutrient value","Nutrient value source","FDC ID","Derivation code","SR AddMod year","Foundation year acquired","Start date","End date"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","608","0","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","609","0","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","610","0","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","611","0","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","612","0","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","613","0.114","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","614","0.002","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","617","0.114","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","618","0.086","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","619","0.118","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","620","0","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","621","0","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","626","0","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","627","0","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
